Name,Position,Age,Height,Weight,Salary,League
Semi Ojeleye,F,23,79,241,"$1,291,892.00 ",NBA
Jahlil Okafor,C,22,83,255,"$4,995,120.00 ",NBA
Victor Oladipo,G,25,76,210,"$21,000,000.00 ",NBA
Kelly Olynyk,F/C,26,84,238,"$10,607,169.00 ",NBA
Cedi Osman,SF,22,80,215,"$2,642,857.00 ",NBA
Kelly Oubre Jr.,SF,22,79,205,"$2,093,040.00 ",NBA
Zaza Pachulia,C,33,83,270,"$3,477,600.00 ",NBA
Georgios Papagiannis,C,20,85,240,"$2,301,360.00 ",NBA
Jabari Parker,F,22,80,250,"$6,782,392.00 ",NBA
Tony Parker,PG,35,74,185,"$15,453,126.00 ",NBA
Chandler Parsons,F,29,82,230,"$23,112,004.00 ",NBA
Patrick Patterson,F/C,28,81,230,"$5,192,000.00 ",NBA
Justin Patton,C,20,84,236,"$2,247,480.00 ",NBA
Chris Paul,PG,32,72,175,"$24,599,495.00 ",NBA
Cameron Payne,PG,23,75,185,"$2,203,440.00 ",NBA
Elfrid Payton,PG,23,76,185,"$3,332,340.00 ",NBA
L.J. Peak,SG,21,77,215,"$815,615.00 ",NBA
Nikola Pekovic,C,31,83,307,"$12,100,000.00 ",NBA
Luke Petrasek,PF,22,82,215,"$815,615.00 ",NBA
Paul Pierce,F,40,79,235,"$3,527,920.00 ",NBA
Mason Plumlee,F/C,27,83,235,"$14,041,096.00 ",NBA
Miles Plumlee,F/C,29,83,249,"$12,500,000.00 ",NBA
Jakob Poeltl,C,22,84,248,"$2,825,640.00 ",NBA
Quincy Pondexter,G/F,29,79,225,"$3,853,931.00 ",NBA
Otto Porter Jr.,F,24,80,205,"$24,773,250.00 ",NBA
Bobby Portis,F/C,22,83,250,"$1,516,320.00 ",NBA
Kristaps Porzingis,F/C,22,87,240,"$4,503,600.00 ",NBA
Dwight Powell,F/C,26,83,240,"$9,003,125.00 ",NBA
Taurean Prince,SF,23,80,220,"$2,422,560.00 ",NBA
Zhou Qi,PF,21,85,210,"$815,615.00 ",NBA
Ivan Rabb,PF,20,82,220,"$950,000.00 ",NBA
Julius Randle,F/C,23,81,250,"$4,149,242.00 ",NBA
Zach Randolph,F/C,36,81,250,"$12,307,692.00 ",NBA
JJ Redick,SG,33,76,195,"$23,000,000.00 ",NBA
Malachi Richardson,SG,21,78,205,"$1,504,560.00 ",NBA
Austin Rivers,G,25,76,200,"$11,825,000.00 ",NBA
Andre Roberson,G/F,26,79,210,"$9,259,260.00 ",NBA
Glenn Robinson III,G/F,23,78,222,"$1,524,305.00 ",NBA
Rajon Rondo,PG,31,73,186,"$3,300,000.00 ",NBA
Terrence Ross,G/F,26,79,206,"$10,500,000.00 ",NBA
Terry Rozier,G,23,73,190,"$1,988,520.00 ",NBA
Ricky Rubio,PG,27,76,190,"$14,275,000.00 ",NBA
D'Angelo Russell,G,21,77,195,"$5,562,360.00 ",NBA
Domantas Sabonis,F/C,21,83,240,"$2,550,000.00 ",NBA
Dario Saric,F/C,23,82,250,"$2,422,560.00 ",NBA
Tomas Satoransky,G,26,79,210,"$3,000,000.00 ",NBA
Dennis Schroder,PG,24,73,172,"$15,500,000.00 ",NBA
Mike Scott,PF,29,80,237,"$1,471,382.00 ",NBA
Thabo Sefolosha,G/F,33,79,220,"$5,500,000.00 ",NBA
Kevin Seraphin,F/C,28,81,285,"$1,974,159.00 ",NBA
Iman Shumpert,G/F,27,77,220,"$10,337,079.00 ",NBA
Ben Simmons,PG,21,82,230,"$6,168,840.00 ",NBA
Jonathon Simmons,G/F,28,78,195,"$6,300,000.00 ",NBA
Kyle Singler,G/F,29,80,228,"$4,666,500.00 ",NBA
Marcus Smart,G,23,76,220,"$4,538,020.00 ",NBA
Ish Smith,PG,29,72,175,"$6,000,000.00 ",NBA
Jason Smith,F/C,31,84,240,"$5,225,000.00 ",NBA
Josh Smith,F,32,81,225,"$1,379,940.00 ",NBA
Dennis Smith Jr.,G,20,75,195,"$3,218,280.00 ",NBA
Tony Snell,G/F,26,79,217,"$9,887,640.00 ",NBA
Nik Stauskas,G/F,24,78,205,"$3,807,147.00 ",NBA
Lance Stephenson,G/F,27,77,230,"$4,180,000.00 ",NBA
Julyan Stone,G/F,29,78,202,"$1,524,305.00 ",NBA
Caleb Swanigan,F/C,20,81,250,"$1,465,920.00 ",NBA
Jayson Tatum,F,19,80,205,"$5,645,400.00 ",NBA
Isaiah Taylor,PG,23,75,170,"$1,312,611.00 ",NBA
Jeff Teague,PG,29,74,189,"$19,000,000.00 ",NBA
Mirza Teletovic,F,32,81,245,"$10,500,000.00 ",NBA
Garrett Temple,G/F,31,78,195,"$8,000,000.00 ",NBA
Daniel Theis,F/C,25,81,243,"$815,615.00 ",NBA
Isaiah Thomas,PG,28,69,185,"$6,261,395.00 ",NBA
Lance Thomas,G/F,29,80,235,"$6,655,325.00 ",NBA
Klay Thompson,G/F,27,79,215,"$17,826,150.00 ",NBA
Tristan Thompson,F/C,26,82,238,"$16,400,000.00 ",NBA
Anthony Tolliver,F,32,80,240,"$3,290,000.00 ",NBA
Karl-Anthony Towns,C,22,84,248,"$6,216,840.00 ",NBA
Evan Turner,G/F,29,79,220,"$17,131,148.00 ",NBA
Myles Turner,F/C,21,83,250,"$2,569,920.00 ",NBA
Ekpe Udoh,F/C,30,82,245,"$3,200,000.00 ",NBA
Jonas Valanciunas,C,25,84,265,"$15,460,675.00 ",NBA
Denzel Valentine,G/F,24,78,210,"$2,186,400.00 ",NBA
Rashad Vaughn,G/F,21,78,202,"$1,889,040.00 ",NBA
Noah Vonleh,PF,22,81,245,"$3,505,233.00 ",NBA
Nikola Vucevic,F/C,27,84,260,"$12,250,000.00 ",NBA
Dion Waiters,G/F,26,76,215,"$11,000,000.00 ",NBA
Kemba Walker,PG,27,73,184,"$12,000,000.00 ",NBA
John Wall,PG,27,76,210,"$18,063,850.00 ",NBA
C.J. Watson,PG,33,74,175,"$5,000,000.00 ",NBA
Travis Wear,PF,27,82,230,"$874,636.00 ",NBA
Russell Westbrook,PG,29,75,200,"$28,530,608.00 ",NBA
Derrick White,PG,23,76,190,"$1,404,600.00 ",NBA
Andrew White III,SF,24,79,210,"$815,615.00 ",NBA
Andrew Wiggins,G/F,22,80,202,"$7,574,323.00 ",NBA
Alan Williams,F/C,24,80,265,"$6,000,000.00 ",NBA
Lou Williams,G,31,73,175,"$7,000,000.00 ",NBA
Marvin Williams,F,31,81,237,"$13,168,750.00 ",NBA
T.J. Williams,SG,23,75,205,"$815,615.00 ",NBA
D.J. Wilson,PF,21,82,240,"$2,135,040.00 ",NBA
Kyle Wiltjer,PF,25,82,240,"$1,312,611.00 ",NBA
Justise Winslow,F,21,79,225,"$2,705,040.00 ",NBA
Jeff Withey,C,27,84,230,"$1,577,230.00 ",NBA
Christian Wood,F/C,22,83,220,"$874,636.00 ",NBA
Brandan Wright,F/C,30,82,235,"$5,955,760.00 ",NBA
Chris Wright,F,29,79,218,"$980,431.00 ",NBA
Delon Wright,G,25,77,183,"$1,645,200.00 ",NBA
Guerschon Yabusele,F,22,80,270,"$2,247,480.00 ",NBA
Nick Young,G/F,32,79,210,"$5,192,000.00 ",NBA
Thaddeus Young,F,29,80,221,"$14,996,348.00 ",NBA
Rade Zagorac,SF,22,81,205,"$950,000.00 ",NBA
Cody Zeller,F/C,25,84,240,"$12,584,270.00 ",NBA
Tyler Zeller,F/C,27,84,250,"$1,709,538.00 ",NBA
Ante Zizic,C,20,83,254,"$1,645,200.00 ",NBA
A.J. Bouye,CB,26,72,191,"$3,000,000.00 ",NFL
A.J. Cann,G,26,75,325,"$721,000.00 ",NFL
A.J. Francis,DT,27,77,337,"$397,936.00 ",NFL
A.J. Francis,DT,27,77,337,"$397,936.00 ",NFL
A.J. Green,WR,29,76,210,"$10,300,000.00 ",NFL
A.J. Klein,LB,26,73,240,"$1,700,000.00 ",NFL
A.Q. Shipley,C,31,73,307,"$775,000.00 ",NFL
A'Shawn Robinson,DT,22,76,322,"$687,892.00 ",NFL
A'Shawn Robinson,DT,22,76,322,"$687,892.00 ",NFL
Aaron Brewer,LS,27,77,232,"$775,000.00 ",NFL
Aaron Colvin,CB,26,72,193,"$1,797,000.00 ",NFL
Aaron Donald,DT,26,73,280,"$1,802,250.00 ",NFL
Aaron Jones,RB,23,69,208,"$465,000.00 ",NFL
Aaron Lynch,LB,24,78,270,"$1,797,000.00 ",NFL
Aaron Ripkowski,FB,25,73,246,"$615,000.00 ",NFL
Aaron Rodgers,QB,34,74,225,"$12,550,000.00 ",NFL
Abry Jones,DT,26,76,318,"$2,500,000.00 ",NFL
Adam Butler,DT,23,76,300,"$465,000.00 ",NFL
Adam Humphries,WR,24,71,195,"$615,000.00 ",NFL
Adam Jones,CB,34,70,185,"$6,023,529.00 ",NFL
Adam Shaheen,TE,23,77,270,"$465,000.00 ",NFL
Adam Thielen,WR,27,74,200,"$2,746,000.00 ",NFL
Adam Thielen,WR,27,74,200,"$2,746,000.00 ",NFL
Adam Vinatieri,PK,45,72,212,"$2,750,000.00 ",NFL
Adarius Glanton,LB,27,73,230,"$690,000.00 ",NFL
Adolphus Washington,DT,25,76,295,"$540,000.00 ",NFL
Adrian Amos,S,24,72,214,"$615,000.00 ",NFL
Adrian Clayborn,DE,29,75,280,"$3,750,000.00 ",NFL
Adrian Colbert,CB,24,74,205,"$465,000.00 ",NFL
Adrian Peterson,RB,32,73,220,"$1,000,000.00 ",NFL
Adrian Phillips,S,25,71,210,"$690,000.00 ",NFL
Ahkello Witherspoon,CB,22,74,195,"$465,000.00 ",NFL
Ahmad Brooks,LB,33,75,259,"$1,000,000.00 ",NFL
Ahtyba Rubin,DT,31,74,310,"$582,353.00 ",NFL
Akeem Ayers,LB,28,75,247,"$319,118.00 ",NFL
Akeem Hunt,RB,24,70,185,"$578,824.00 ",NFL
Akeem Spence,DT,26,73,307,"$1,250,000.00 ",NFL
Akeem Spence,DT,26,73,307,"$1,250,000.00 ",NFL
Akiem Hicks,DE,28,77,332,"$7,000,000.00 ",NFL
Al Woods,NT,30,76,330,"$1,250,000.00 ",NFL
Al-Quadin Muhammad,DE,22,75,250,"$465,000.00 ",NFL
Alan Branch,DE,32,78,350,"$1,750,000.00 ",NFL
Alan Cross,TE,24,73,235,"$540,000.00 ",NFL
Albert Wilson,WR,25,69,200,"$1,797,000.00 ",NFL
Aldrick Robinson,WR,29,70,187,"$1,250,000.00 ",NFL
Aldrick Rosas,PK,22,74,221,"$465,000.00 ",NFL
Alec Ogletree,LB,26,74,235,"$8,369,000.00 ",NFL
Alejandro Villanueva,OT,29,81,320,"$1,500,000.00 ",NFL
Alex Anzalone,LB,23,75,241,"$465,000.00 ",NFL
Alex Armah,FB,23,73,255,"$410,294.00 ",NFL
Alex Boone,G,30,80,310,"$1,400,000.00 ",NFL
Alex Collins,RB,23,70,210,"$508,235.00 ",NFL
Alex Erickson,WR,25,72,195,"$540,000.00 ",NFL
Alex Mack,C,32,76,311,"$5,750,000.00 ",NFL
Alex Okafor,DE,26,76,261,"$935,000.00 ",NFL
Alex Redmond,G,22,77,330,"$465,000.00 ",NFL
Alex Smith,QB,33,76,217,"$10,800,000.00 ",NFL
Alfred Blue,RB,26,74,225,"$690,000.00 ",NFL
Alfred Morris,RB,29,70,222,"$1,200,000.00 ",NFL
Ali Marpet,C,24,76,307,"$703,054.00 ",NFL
Allen Bailey,DE,28,75,288,"$3,900,000.00 ",NFL
Allen Hurns,WR,26,75,201,"$7,000,000.00 ",NFL
Allen Robinson,WR,24,75,211,"$898,755.00 ",NFL
Alshon Jeffery,WR,27,75,218,"$1,000,000.00 ",NFL
Alvin Kamara,RB,22,70,215,"$465,000.00 ",NFL
Amara Darboh,WR,23,74,219,"$465,000.00 ",NFL
Amari Cooper,WR,23,73,210,"$615,000.00 ",NFL
Ameer Abdullah,RB,24,69,203,"$687,830.00 ",NFL
Ameer Abdullah,RB,24,69,203,"$687,830.00 ",NFL
Amini Silatolu,OT,29,76,305,"$775,000.00 ",NFL
Andre Ellington,RB,28,69,199,"$775,000.00 ",NFL
Andre Hal,S,25,70,190,"$1,797,000.00 ",NFL
Andre Holmes,WR,29,76,210,"$800,000.00 ",NFL
Andre Roberts,WR,29,71,195,"$1,300,000.00 ",NFL
Andre Smith,G,30,76,330,"$1,250,000.00 ",NFL
Andre Williams,RB,25,72,220,"$527,644.00 ",NFL
Andrew Adams,S,25,71,205,"$540,000.00 ",NFL
Andrew Billings,DT,22,73,325,"$465,000.00 ",NFL
Andrew DePaola,LS,30,74,230,"$690,000.00 ",NFL
Andrew Donnal,OT,25,78,310,"$615,000.00 ",NFL
Andrew Gachkar,LB,29,74,224,"$501,471.00 ",NFL
Andrew Norwell,G,26,78,325,"$2,746,000.00 ",NFL
Andrew Sendejo,S,30,73,210,"$2,950,000.00 ",NFL
Andrew Sendejo,S,30,73,210,"$2,950,000.00 ",NFL
Andrew Whitworth,OT,36,79,333,"$7,500,000.00 ",NFL
Andrus Peat,OT,24,79,316,"$1,470,773.00 ",NFL
Andy Dalton,QB,30,74,220,"$13,100,000.00 ",NFL
Andy Jones,WR,23,73,220,"$54,706.00 ",NFL
Andy Jones,WR,23,73,220,"$54,706.00 ",NFL
Andy Lee,P,35,73,185,"$1,000,000.00 ",NFL
Andy Levitre,G,31,74,303,"$5,250,000.00 ",NFL
Angelo Blackson,DE,25,76,318,"$325,588.00 ",NFL
Anthony Barr,LB,25,77,255,"$2,157,750.00 ",NFL
Anthony Barr,LB,25,77,255,"$2,157,750.00 ",NFL
Anthony Brown,CB,24,71,196,"$540,000.00 ",NFL
Anthony Castonzo,OT,29,79,311,"$1,000,000.00 ",NFL
Anthony Chickillo,LB,25,75,255,"$615,000.00 ",NFL
Anthony Fabiano,C,24,73,303,"$158,824.00 ",NFL
Anthony Harris,S,26,73,192,"$615,000.00 ",NFL
Anthony Harris,S,26,73,192,"$615,000.00 ",NFL
Anthony Hitchens,LB,25,72,235,"$1,797,000.00 ",NFL
Anthony Johnson,DE,24,74,295,"$144,706.00 ",NFL
Anthony Sherman,RB,29,70,242,"$1,100,000.00 ",NFL
Anthony Walker,LB,22,73,242,"$465,000.00 ",NFL
Anthony Zettel,DT,25,76,270,"$540,000.00 ",NFL
Anthony Zettel,DT,25,76,270,"$540,000.00 ",NFL
Antoine Bethea,S,33,71,206,"$2,000,000.00 ",NFL
Antonio Brown,WR,29,70,181,"$910,000.00 ",NFL
Antonio Gates,TE,37,76,255,"$4,500,000.00 ",NFL
Antonio Hamilton,CB,24,72,190,"$540,000.00 ",NFL
Antonio Morrison,LB,23,73,241,"$540,000.00 ",NFL
Antony Auclair,TE,24,77,256,"$465,000.00 ",NFL
ArDarius Stewart,WR,24,71,205,"$465,000.00 ",NFL
Arie Kouandjio,OT,25,77,316,"$361,765.00 ",NFL
Arie Kouandjio,OT,25,77,316,"$361,765.00 ",NFL
Arik Armstead,DE,24,79,292,"$1,329,785.00 ",NFL
Arrelious Benn,WR,29,74,228,"$775,000.00 ",NFL
Arthur Jones,DT,31,75,320,"$476,471.00 ",NFL
Arthur Jones,DT,31,75,320,"$476,471.00 ",NFL
Arthur Maulet,CB,24,69,190,"$136,765.00 ",NFL
Arthur Moats,LB,29,72,246,"$2,250,000.00 ",NFL
Artie Burns,CB,22,72,197,"$885,954.00 ",NFL
Asa Jackson,CB,28,70,183,"$729,412.00 ",NFL
Austin Blythe,C,25,75,300,"$540,000.00 ",NFL
Austin Carr,WR,24,72,195,"$465,000.00 ",NFL
Austin Davis,QB,28,74,221,"$775,000.00 ",NFL
Austin Ekeler,RB,22,69,200,"$465,000.00 ",NFL
Austin Hooper,TE,23,75,254,"$540,000.00 ",NFL
Austin Howard,OT,30,79,330,"$1,525,000.00 ",NFL
Austin Pasztor,G,27,79,305,"$775,000.00 ",NFL
Austin Reiter,G,26,74,300,"$540,000.00 ",NFL
Austin Seferian-Jenkins,TE,25,77,262,"$936,690.00 ",NFL
Avery Moss,DE,23,75,271,"$465,000.00 ",NFL
Aviante Collins,OT,24,76,292,"$465,000.00 ",NFL
Aviante Collins,OT,24,76,292,"$465,000.00 ",NFL
B.J. Bello,LB,23,74,229,"$465,000.00 ",NFL
B.J. Finney,C,26,76,318,"$540,000.00 ",NFL
B.J. Goodson,LB,24,73,241,"$540,000.00 ",NFL
Bam Bradley,LB,23,71,237,"$465,000.00 ",NFL
Barkevious Mingo,LB,27,76,239,"$1,500,000.00 ",NFL
Barry Church,S,29,74,218,"$5,000,000.00 ",NFL
Bashaud Breeland,CB,25,71,195,"$1,797,000.00 ",NFL
Bashaud Breeland,CB,25,71,195,"$1,797,000.00 ",NFL
Beau Allen,DT,26,75,327,"$690,000.00 ",NFL
Ben Braunecker,TE,23,76,252,"$254,120.00 ",NFL
Ben Garland,G,29,77,308,"$690,000.00 ",NFL
Ben Gedeon,LB,23,74,244,"$465,000.00 ",NFL
Ben Gedeon,LB,23,74,244,"$465,000.00 ",NFL
Ben Heeney,LB,25,72,230,"$470,294.00 ",NFL
Ben Ijalana,OT,28,76,322,"$2,000,000.00 ",NFL
Ben Jacobs,LB,29,76,240,"$775,000.00 ",NFL
Ben Koyack,TE,24,77,258,"$540,000.00 ",NFL
Ben Roethlisberger,QB,35,77,240,"$12,000,000.00 ",NFL
Benardrick McKinney,LB,25,76,250,"$920,921.00 ",NFL
Bene Benwikere,CB,26,72,195,"$690,000.00 ",NFL
Bennie Logan,DT,28,74,315,"$6,680,000.00 ",NFL
Benny Cunningham,RB,27,70,218,"$775,000.00 ",NFL
Benson Mayowa,DE,26,75,265,"$1,500,000.00 ",NFL
Bilal Powell,RB,29,70,204,"$3,750,000.00 ",NFL
Blaine Gabbert,QB,28,76,235,"$900,000.00 ",NFL
Blair Brown,LB,23,71,238,"$465,000.00 ",NFL
Blair Walsh,PK,27,70,175,"$800,000.00 ",NFL
Blake Bell,TE,26,78,252,"$615,000.00 ",NFL
Blake Bell,TE,26,78,252,"$615,000.00 ",NFL
Blake Bortles,QB,25,77,236,"$3,236,565.00 ",NFL
Blake Countess,S,24,70,185,"$540,000.00 ",NFL
Blake Jarwin,TE,23,77,260,"$273,530.00 ",NFL
Blake Martinez,LB,23,74,237,"$540,000.00 ",NFL
Blidi Wreh-Wilson,CB,28,73,190,"$775,000.00 ",NFL
Bobby Hart,OT,23,76,316,"$615,000.00 ",NFL
Bobby Massie,OT,28,78,317,"$4,200,000.00 ",NFL
Bobby Wagner,LB,27,72,245,"$4,000,000.00 ",NFL
Brad Nortman,P,28,74,214,"$1,900,000.00 ",NFL
Brad Wing,P,26,75,192,"$1,125,000.00 ",NFL
Bradley McDougald,S,27,73,215,"$800,000.00 ",NFL
Bradley Pinion,P,23,77,229,"$615,000.00 ",NFL
Bradley Sowell,OT,28,79,312,"$775,000.00 ",NFL
Brady Sheldon,LB,24,77,230,"$54,706.00 ",NFL
Branden Jackson,DE,25,76,270,"$412,941.00 ",NFL
Branden Oliver,RB,26,68,208,"$750,000.00 ",NFL
Brandin Cooks,WR,24,70,189,"$781,599.00 ",NFL
Brandon Bell,LB,22,73,230,"$82,059.00 ",NFL
Brandon Bolden,RB,27,71,220,"$775,000.00 ",NFL
Brandon Brooks,G,28,77,335,"$5,000,000.00 ",NFL
Brandon Carr,CB,31,72,210,"$2,000,000.00 ",NFL
Brandon Coleman,WR,25,78,225,"$615,000.00 ",NFL
Brandon Dixon,DB,27,71,203,"$158,825.00 ",NFL
Brandon Dunn,DE,25,74,300,"$690,000.00 ",NFL
Brandon Fusco,OT,29,76,306,"$1,000,000.00 ",NFL
Brandon Graham,DE,29,74,265,"$6,500,000.00 ",NFL
Brandon King,S,24,74,220,"$615,000.00 ",NFL
Brandon LaFell,WR,31,75,210,"$1,250,000.00 ",NFL
Brandon Linder,C,25,78,315,"$5,500,000.00 ",NFL
Brandon Marshall,WR,33,77,232,"$3,000,000 ",NFL
Brandon Mebane,DT,32,73,311,"$3,350,000.00 ",NFL
Brandon Reilly,WR,24,74,200,"$109,412.00 ",NFL
Brandon Scherff,G,26,77,319,"$615,000.00 ",NFL
Brandon Scherff,G,26,77,319,"$615,000.00 ",NFL
Brandon Shell,OT,25,77,324,"$540,000.00 ",NFL
Brandon Tate,WR,30,73,195,"$900,000.00 ",NFL
Brandon Williams,CB,25,72,200,"$775,000 ",NFL
Brandon Williams,DT,28,73,340,"$775,000 ",NFL
Brandon Williams,TE,30,75,260,"$563,500 ",NFL
Brandon Wilson,S,23,70,199,"$218,824.00 ",NFL
Braxton Miller,WR,25,74,215,"$557,500.00 ",NFL
Brennan Scarlett,LB,24,76,265,"$540,000.00 ",NFL
Breno Giacomini,OT,32,79,320,"$1,000,000.00 ",NFL
Brent Celek,TE,32,76,255,"$3,000,000.00 ",NFL
Brent Grimes,CB,34,70,185,"$6,000,000.00 ",NFL
Brent Qvale,OT,26,79,315,"$615,000.00 ",NFL
Brent Urban,DE,26,79,300,"$690,000.00 ",NFL
Brenton Bersin,WR,27,75,210,"$365,292.00 ",NFL
Breshad Perriman,WR,24,74,215,"$1,226,392.00 ",NFL
Brett Boyko,OT,25,78,301,"$54,706.00 ",NFL
Brett Goode,LS,33,73,255,"$900,000.00 ",NFL
Brett Hundley,QB,24,75,226,"$615,000.00 ",NFL
Brett Jones,C,26,74,312,"$615,000.00 ",NFL
Brian Allen,CB,24,75,215,"$465,000.00 ",NFL
Brian Cushing,LB,30,75,250,"$2,264,706.00 ",NFL
Brian Hill,RB,22,73,219,"$465,000.00 ",NFL
Brian Hoyer,QB,32,74,215,"$476,471.00 ",NFL
Brian Mihalik,OT,25,81,315,"$540,000.00 ",NFL
Brian Mihalik,OT,25,81,315,"$540,000.00 ",NFL
Brian Peters,LB,29,76,235,"$615,000.00 ",NFL
Brian Poole,CB,25,69,213,"$540,000.00 ",NFL
Brian Price,DT,23,75,318,"$540,000.00 ",NFL
Brian Quick,WR,28,75,218,"$775,000.00 ",NFL
Brian Quick,WR,28,75,218,"$775,000.00 ",NFL
Brian Robison,DE,34,75,259,"$3,900,000.00 ",NFL
Brian Robison,DE,34,75,259,"$3,900,000.00 ",NFL
Brian Winters,G,26,76,320,"$1,000,000.00 ",NFL
Brice Butler,WR,27,75,220,"$800,000.00 ",NFL
Briean Boddy-Calhoun,S,24,69,193,"$540,000.00 ",NFL
Brittan Golden,WR,29,71,186,"$690,000.00 ",NFL
Britton Colquitt,P,32,75,210,"$1,650,000.00 ",NFL
Brock Coyle,LB,27,73,245,"$1,000,000.00 ",NFL
Bronson Hill,RB,24,70,215,"$158,825.00 ",NFL
Bronson Kaufusi,DE,26,78,285,"$603,500.00 ",NFL
Brooks Reed,DE,30,75,254,"$4,100,000.00 ",NFL
Bruce Carter,LB,29,74,240,"$775,000.00 ",NFL
Bruce Ellington,WR,26,69,200,"$690,000.00 ",NFL
Bruce Irvin,LB,30,75,250,"$4,500,000.00 ",NFL
Bryan Anger,P,29,75,205,"$1,500,000.00 ",NFL
Bryan Braman,DE,30,77,241,"$158,824.00 ",NFL
Bryan Bulaga,OT,28,77,314,"$5,400,000.00 ",NFL
Bryan Cox,DE,23,75,270,"$382,941.00 ",NFL
Bryan Witzmann,OT,27,79,320,"$540,000.00 ",NFL
Bryce Callahan,CB,26,69,188,"$615,000.00 ",NFL
Bryce Hager,LB,25,73,237,"$615,000.00 ",NFL
Bryce Petty,QB,26,75,230,"$615,000.00 ",NFL
Bryson Albright,LB,23,77,245,"$246,177.00 ",NFL
Bud Dupree,LB,24,76,269,"$1,273,390.00 ",NFL
Budda Baker,S,21,70,195,"$465,000.00 ",NFL
Buster Skrine,CB,28,69,185,"$6,000,000.00 ",NFL
Byron Bell,OT,28,77,320,"$1,000,000.00 ",NFL
Byron Jones,S,25,72,205,"$1,216,995.00 ",NFL
Byron Marshall,RB,23,69,201,"$222,353.00 ",NFL
Byron Marshall,RB,23,69,201,"$222,353.00 ",NFL
Byron Maxwell,CB,29,73,198,"$8,500,000.00 ",NFL
C.J. Beathard,QB,24,74,215,"$465,000.00 ",NFL
C.J. Fiedorowicz,TE,26,77,265,"$3,097,000.00 ",NFL
C.J. Goodwin,CB,27,76,220,"$540,000.00 ",NFL
C.J. Ham,FB,24,71,235,"$465,000.00 ",NFL
C.J. Ham,FB,24,71,235,"$465,000.00 ",NFL
C.J. Mosley,LB,25,74,250,"$1,618,365.00 ",NFL
C.J. Prosise,RB,23,73,225,"$565,000.00 ",NFL
C.J. Smith,CB,24,71,189,"$95,294.00 ",NFL
C.J. Uzomah,TE,24,78,265,"$615,000.00 ",NFL
Cairo Santos,PK,26,68,160,"$243,529.00 ",NFL
Calais Campbell,DE,31,80,300,"$9,000,000.00 ",NFL
Caleb Benenoch,G,23,77,305,"$540,000.00 ",NFL
Caleb Brantley,DT,23,74,307,"$465,000.00 ",NFL
Caleb Sturgis,PK,28,69,192,"$900,000.00 ",NFL
Calvin Munson,LB,23,72,241,"$465,000.00 ",NFL
Cam Newton,QB,28,77,245,"$13,166,666.00 ",NFL
Cam Robinson,OT,22,78,320,"$465,000.00 ",NFL
Cameron Artis-Payne,RB,27,70,215,"$615,000.00 ",NFL
Cameron Brate,TE,26,77,245,"$690,000.00 ",NFL
Cameron Erving,OT,25,77,313,"$1,292,188.00 ",NFL
Cameron Fleming,OT,25,78,320,"$1,797,000.00 ",NFL
Cameron Heyward,DE,28,77,295,"$775,000.00 ",NFL
Cameron Jordan,DE,28,76,287,"$7,000,000.00 ",NFL
Cameron Lee,G,24,77,312,"$93,600.00 ",NFL
Cameron Lynch,LB,24,72,229,"$144,706.00 ",NFL
Cameron Sutton,CB,22,71,188,"$348,000.00 ",NFL
Captain Munnerlyn,CB,29,69,195,"$900,000.00 ",NFL
Caraun Reid,DT,26,74,298,"$81,176.00 ",NFL
Carl Davis,DT,25,77,321,"$630,750.00 ",NFL
Carl Lawson,LB,23,74,260,"$465,000.00 ",NFL
Carl Nassib,DE,24,79,275,"$618,110.00 ",NFL
Carlos Dunlap,DE,28,78,280,"$5,350,000.00 ",NFL
Carlos Hyde,RB,27,72,235,"$822,047.00 ",NFL
Carlos Thompson,LB,25,77,250,"$158,825.00 ",NFL
Carlos Watkins,DT,24,75,305,"$465,000.00 ",NFL
Carroll Phillips,DE,25,75,242,"$136,765.00 ",NFL
Carson Palmer,QB,38,77,235,"$15,500,000.00 ",NFL
Carson Wentz,QB,24,77,237,"$1,662,561.00 ",NFL
Case Keenum,QB,29,73,215,"$950,000.00 ",NFL
Case Keenum,QB,29,73,215,"$950,000.00 ",NFL
Casey Hayward,CB,28,71,192,"$3,250,000.00 ",NFL
Cassius Marsh,DE,25,76,245,"$690,000.00 ",NFL
Cedric Ogbuehi,OT,25,77,310,"$1,282,789.00 ",NFL
Cedric Thornton,DT,29,76,290,"$775,000.00 ",NFL
Cethan Carter,TE,24,75,245,"$465,000.00 ",NFL
Chad Hansen,WR,22,73,202,"$465,000.00 ",NFL
Chad Henne,QB,32,75,222,"$2,250,000.00 ",NFL
Chad Slade,G,25,77,315,"$136,765.00 ",NFL
Chad Wheeler,OT,23,79,312,"$465,000.00 ",NFL
Chad Williams,WR,23,73,204,"$465,000.00 ",NFL
Chance Warmack,G,26,74,323,"$760,000.00 ",NFL
Chandler Catanzaro,PK,26,75,200,"$900,000.00 ",NFL
Chandler Jones,LB,27,77,265,"$7,000,000.00 ",NFL
Charcandrick West,RB,26,70,205,"$700,000.00 ",NFL
Charles Clay,TE,28,75,255,"$4,500,000.00 ",NFL
Charles Sims,RB,27,72,211,"$764,000.00 ",NFL
Charles Tapper,DE,24,74,270,"$540,000.00 ",NFL
Charles Washington,S,24,70,192,"$465,000.00 ",NFL
Charles Washington,S,24,70,192,"$465,000.00 ",NFL
Charley Hughlett,LS,27,76,248,"$615,000.00 ",NFL
