RK,PLAYER,TEAM,GP,G,A,PTS,+/-,PIM,PTS/G,SOG,PCT,GWG,G,A,G,A
59,"Kevin Roy, C",ANA,25,6,1,7,3,6,0.28,26,23.1,1,1,0,0,0
,"Michael Amadio, C",LA,28,4,3,7,0,8,0.25,21,19,0,1,2,0,0
,"Victor Mete, D",MTL,49,0,7,7,5,4,0.14,43,0,0,0,4,0,0
62,"Jonny Brodzinski, C",LA,34,4,2,6,5,6,0.18,49,8.2,1,0,0,0,0
,"Zach Aston-Reese, C",PIT,10,4,2,6,3,0,0.6,16,25,1,0,0,0,0
,"Tage Thompson, C",STL,29,3,3,6,-10,8,0.21,45,6.7,0,0,1,0,0
,"Haydn Fleury, D",CAR,54,0,6,6,-9,12,0.11,71,0,0,0,0,0,0
,"Gustav Olofsson, D",MIN,37,0,6,6,0,14,0.16,21,0,0,0,0,0,0
67,"Marcus Sorensen, RW",SJ,23,4,1,5,-5,5,0.22,14,28.6,1,0,0,0,0
,"Zack Mitchell, RW",MIN,21,3,2,5,-1,2,0.24,16,18.8,1,1,0,0,0
,"Ross Johnston, LW",NYI,13,3,2,5,1,24,0.38,12,25,0,0,0,0,0
,"Anthony Cirelli, C",TB,4,2,3,5,4,2,1.25,4,50,0,0,0,0,0
,"Matthew Peca, C",TB,10,2,3,5,6,0,0.5,17,11.8,0,0,0,0,0
,"Mackenzie Weegar, D",FLA,43,1,4,5,2,14,0.12,37,2.7,0,0,0,0,0
,"Travis Sanheim, D",PHI,35,1,4,5,-10,12,0.14,48,2.1,0,0,0,0,0
,"Vinni Lettieri, C",NYR,19,1,4,5,-12,0,0.26,28,3.6,0,0,1,0,0
75,"Ian McCoshen, D",FLA,34,3,1,4,-11,25,0.12,25,12,1,0,0,0,0
,"Markus Hannikainen, LW",CBJ,29,2,2,4,-1,6,0.14,26,7.7,0,0,0,0,0
,"Nikita Scherbak, LW",MTL,14,2,2,4,0,2,0.29,21,9.5,0,0,2,0,0
,"Luke Kunin, C",MIN,19,2,2,4,-3,13,0.21,32,6.3,0,0,0,1,0
,"Sebastian Aho, D",NYI,21,1,3,4,-4,6,0.19,24,4.2,0,1,0,0,0
,"Julius Honka, D",DAL,32,1,3,4,2,14,0.13,34,2.9,0,0,1,0,0
81,"Kurtis MacDermid, D",LA,34,1,3,4,-4,57,0.12,19,5.3,0,0,0,0,0
,"Danny O'Regan, C",BUF/SJ,20,0,4,4,-3,2,0.2,17,0,0,0,1,0,0
,"Neal Pionk, D",NYR,14,0,4,4,-6,4,0.29,26,0,0,0,1,0,0
,"Anton Lindholm, D",COL,47,0,4,4,4,14,0.09,22,0,0,0,0,0,0
,"Dean Kukan, D",CBJ,10,0,4,4,3,2,0.4,10,0,0,0,0,0,0
86,"John Gilmour, D",NYR,14,2,1,3,-4,8,0.21,40,5,1,1,0,0,0
,"Paul LaDue, D",LA,7,2,1,3,2,0,0.43,9,22.2,2,1,0,0,0
,"Colin White, C",OTT,15,2,1,3,-2,6,0.2,17,11.8,1,0,0,0,0
,"Daniel Sprong, RW",PIT,8,2,1,3,2,0,0.38,22,9.1,1,0,0,0,0
,"Nicholas Baptiste, RW",BUF,19,2,1,3,-3,10,0.16,27,7.4,0,0,0,0,0
,"Andrei Mironov, D",COL,10,1,2,3,2,12,0.3,3,33.3,0,0,0,0,0
,"Sammy Blais, LW",STL,11,1,2,3,1,6,0.27,9,11.1,0,1,0,0,0
,"Carl Dahlstrom, D",CHI,11,0,3,3,-2,0,0.27,12,0,0,0,0,0,0
,"Frederick Gaudreau, C",NSH,20,0,3,3,0,2,0.15,14,0,0,0,0,0,0
,"Kailer Yamamoto, RW",EDM,9,0,3,3,-2,2,0.33,23,0,0,0,1,0,0
,"A.J. Greer, LW",COL,17,0,3,3,2,29,0.18,13,0,0,0,0,0,0
97,"Maxim Mamin, C",FLA,15,2,0,2,3,7,0.13,13,15.4,0,0,0,0,0
,"Justin Holl, D",TOR,2,2,0,2,5,0,1,2,100,1,0,0,0,0
,"Peter Cehlarik, LW",BOS,6,1,1,2,2,2,0.33,3,33.3,0,0,0,0,0
,"Tomas Hyka, LW",VGS,7,1,1,2,3,0,0.29,11,9.1,0,0,0,0,0
,"Kalle Kossila, C",ANA,10,1,1,2,-4,0,0.2,9,11.1,0,0,0,0,0
